nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mvscoglw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_102227-mvscoglw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/ablation-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/ablation-resnet18/runs/mvscoglw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 100/200 - Loss: 0.0769, Val Acc: 59.54%, Head: 69.75%, Med: 18.70%, Tail: 0.00%
[adam] Epoch 101/200 - Loss: 0.0727, Val Acc: 59.82%, Head: 69.00%, Med: 23.10%, Tail: 0.00%
[adam] Epoch 102/200 - Loss: 0.0741, Val Acc: 60.35%, Head: 69.41%, Med: 24.10%, Tail: 0.00%
[adam] Epoch 103/200 - Loss: 0.0651, Val Acc: 61.95%, Head: 70.25%, Med: 28.75%, Tail: 0.00%
[adam] Epoch 104/200 - Loss: 0.0717, Val Acc: 60.39%, Head: 69.74%, Med: 23.00%, Tail: 0.00%
[adam] Epoch 105/200 - Loss: 0.0668, Val Acc: 57.86%, Head: 67.55%, Med: 19.10%, Tail: 0.00%
[adam] Epoch 106/200 - Loss: 0.0598, Val Acc: 58.40%, Head: 69.49%, Med: 14.05%, Tail: 0.00%
[adam] Epoch 107/200 - Loss: 0.0623, Val Acc: 59.69%, Head: 68.06%, Med: 26.20%, Tail: 0.00%
[adam] Epoch 108/200 - Loss: 0.0582, Val Acc: 60.46%, Head: 68.39%, Med: 28.75%, Tail: 0.00%
[adam] Epoch 109/200 - Loss: 0.0608, Val Acc: 61.44%, Head: 71.36%, Med: 21.75%, Tail: 0.00%
[adam] Epoch 110/200 - Loss: 0.0550, Val Acc: 61.85%, Head: 69.53%, Med: 31.15%, Tail: 0.00%
[adam] Epoch 111/200 - Loss: 0.0598, Val Acc: 59.84%, Head: 68.30%, Med: 26.00%, Tail: 0.00%
[adam] Epoch 112/200 - Loss: 0.0529, Val Acc: 59.22%, Head: 67.36%, Med: 26.65%, Tail: 0.00%
[adam] Epoch 113/200 - Loss: 0.0548, Val Acc: 60.07%, Head: 69.90%, Med: 20.75%, Tail: 0.00%
[adam] Epoch 114/200 - Loss: 0.0482, Val Acc: 58.32%, Head: 66.99%, Med: 23.65%, Tail: 0.00%
[adam] Epoch 115/200 - Loss: 0.0488, Val Acc: 61.75%, Head: 69.65%, Med: 30.15%, Tail: 0.00%
[adam] Epoch 116/200 - Loss: 0.0493, Val Acc: 61.44%, Head: 70.20%, Med: 26.40%, Tail: 0.00%
[adam] Epoch 117/200 - Loss: 0.0447, Val Acc: 60.61%, Head: 68.90%, Med: 27.45%, Tail: 0.00%
[adam] Epoch 118/200 - Loss: 0.0455, Val Acc: 59.19%, Head: 68.14%, Med: 23.40%, Tail: 0.00%
[adam] Epoch 119/200 - Loss: 0.0415, Val Acc: 60.48%, Head: 69.50%, Med: 24.40%, Tail: 0.00%
[adam] Epoch 120/200 - Loss: 0.0434, Val Acc: 58.20%, Head: 66.75%, Med: 24.00%, Tail: 0.00%
[adam] Epoch 121/200 - Loss: 0.0346, Val Acc: 58.85%, Head: 67.79%, Med: 23.10%, Tail: 0.00%
[adam] Epoch 122/200 - Loss: 0.0403, Val Acc: 59.63%, Head: 69.46%, Med: 20.30%, Tail: 0.00%
[adam] Epoch 123/200 - Loss: 0.0383, Val Acc: 60.13%, Head: 69.81%, Med: 21.40%, Tail: 0.00%
[adam] Epoch 124/200 - Loss: 0.0363, Val Acc: 59.16%, Head: 68.38%, Med: 22.30%, Tail: 0.00%
[adam] Epoch 125/200 - Loss: 0.0369, Val Acc: 59.14%, Head: 67.70%, Med: 24.90%, Tail: 0.00%
[adam] Epoch 126/200 - Loss: 0.0366, Val Acc: 60.36%, Head: 68.41%, Med: 28.15%, Tail: 0.00%
[adam] Epoch 127/200 - Loss: 0.0337, Val Acc: 59.55%, Head: 68.47%, Med: 23.85%, Tail: 0.00%
[adam] Epoch 128/200 - Loss: 0.0307, Val Acc: 58.95%, Head: 68.60%, Med: 20.35%, Tail: 0.00%
[adam] Epoch 129/200 - Loss: 0.0299, Val Acc: 61.00%, Head: 69.92%, Med: 25.30%, Tail: 0.00%
[adam] Epoch 130/200 - Loss: 0.0310, Val Acc: 60.15%, Head: 70.15%, Med: 20.15%, Tail: 0.00%
[adam] Epoch 131/200 - Loss: 0.0312, Val Acc: 60.28%, Head: 69.15%, Med: 24.80%, Tail: 0.00%
[adam] Epoch 132/200 - Loss: 0.0342, Val Acc: 58.47%, Head: 67.95%, Med: 20.55%, Tail: 0.00%
[adam] Epoch 133/200 - Loss: 0.0305, Val Acc: 60.77%, Head: 69.81%, Med: 24.60%, Tail: 0.00%
[adam] Epoch 134/200 - Loss: 0.0230, Val Acc: 60.68%, Head: 70.29%, Med: 22.25%, Tail: 0.00%
[adam] Epoch 135/200 - Loss: 0.0282, Val Acc: 59.73%, Head: 69.75%, Med: 19.65%, Tail: 0.00%
[adam] Epoch 136/200 - Loss: 0.0261, Val Acc: 59.24%, Head: 68.70%, Med: 21.40%, Tail: 0.00%
[adam] Epoch 137/200 - Loss: 0.0220, Val Acc: 60.32%, Head: 68.22%, Med: 28.70%, Tail: 0.00%
[adam] Epoch 138/200 - Loss: 0.0253, Val Acc: 61.32%, Head: 70.10%, Med: 26.20%, Tail: 0.00%
[adam] Epoch 139/200 - Loss: 0.0202, Val Acc: 58.56%, Head: 68.35%, Med: 19.40%, Tail: 0.00%
[adam] Epoch 140/200 - Loss: 0.0194, Val Acc: 59.85%, Head: 69.47%, Med: 21.35%, Tail: 0.00%
[adam] Epoch 141/200 - Loss: 0.0197, Val Acc: 60.94%, Head: 69.65%, Med: 26.10%, Tail: 0.00%
[adam] Epoch 142/200 - Loss: 0.0204, Val Acc: 58.17%, Head: 67.59%, Med: 20.50%, Tail: 0.00%
[adam] Epoch 143/200 - Loss: 0.0172, Val Acc: 59.63%, Head: 69.58%, Med: 19.85%, Tail: 0.00%
