nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
/home/gauranshi/miniconda3/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run k45kwifk
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120600-k45kwifk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ViT_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/k45kwifk
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 126/200 - Loss: 0.5739, Val Acc: 45.34%, Head: 54.15%, Med: 10.10%, Tail: 0.00%
Epoch 127/200 - Loss: 0.5757, Val Acc: 44.33%, Head: 54.34%, Med: 4.30%, Tail: 0.00%
Epoch 128/200 - Loss: 0.5720, Val Acc: 47.19%, Head: 55.50%, Med: 13.95%, Tail: 0.00%
Epoch 129/200 - Loss: 0.5538, Val Acc: 45.38%, Head: 55.79%, Med: 3.75%, Tail: 0.00%
Epoch 130/200 - Loss: 0.5417, Val Acc: 45.36%, Head: 54.38%, Med: 9.30%, Tail: 0.00%
Epoch 131/200 - Loss: 0.5473, Val Acc: 45.74%, Head: 55.81%, Med: 5.45%, Tail: 0.00%
Epoch 132/200 - Loss: 0.5405, Val Acc: 47.95%, Head: 56.83%, Med: 12.45%, Tail: 0.00%
Epoch 133/200 - Loss: 0.5312, Val Acc: 45.60%, Head: 54.74%, Med: 9.05%, Tail: 0.00%
Epoch 134/200 - Loss: 0.5292, Val Acc: 46.65%, Head: 55.56%, Med: 11.00%, Tail: 0.00%
Epoch 135/200 - Loss: 0.5057, Val Acc: 47.14%, Head: 55.88%, Med: 12.20%, Tail: 0.00%
Epoch 136/200 - Loss: 0.5035, Val Acc: 48.64%, Head: 56.59%, Med: 16.85%, Tail: 0.00%
Epoch 137/200 - Loss: 0.4986, Val Acc: 49.18%, Head: 55.94%, Med: 22.15%, Tail: 0.00%
Epoch 138/200 - Loss: 0.4940, Val Acc: 49.05%, Head: 55.85%, Med: 21.85%, Tail: 0.00%
Epoch 139/200 - Loss: 0.4888, Val Acc: 48.43%, Head: 57.11%, Med: 13.70%, Tail: 0.00%
Epoch 140/200 - Loss: 0.4827, Val Acc: 47.23%, Head: 55.05%, Med: 15.95%, Tail: 0.00%
Epoch 141/200 - Loss: 0.4737, Val Acc: 49.15%, Head: 56.38%, Med: 20.25%, Tail: 0.00%
Epoch 142/200 - Loss: 0.4721, Val Acc: 49.33%, Head: 59.02%, Med: 10.55%, Tail: 0.00%
Epoch 143/200 - Loss: 0.4563, Val Acc: 49.25%, Head: 56.89%, Med: 18.70%, Tail: 0.00%
Epoch 144/200 - Loss: 0.4579, Val Acc: 48.46%, Head: 55.67%, Med: 19.60%, Tail: 0.00%
Epoch 145/200 - Loss: 0.4495, Val Acc: 48.72%, Head: 57.35%, Med: 14.20%, Tail: 0.00%
Epoch 146/200 - Loss: 0.4377, Val Acc: 48.00%, Head: 56.81%, Med: 12.75%, Tail: 0.00%
Epoch 147/200 - Loss: 0.4291, Val Acc: 46.90%, Head: 56.05%, Med: 10.30%, Tail: 0.00%
Epoch 148/200 - Loss: 0.4131, Val Acc: 48.72%, Head: 55.99%, Med: 19.65%, Tail: 0.00%
Epoch 149/200 - Loss: 0.4258, Val Acc: 50.08%, Head: 59.99%, Med: 10.45%, Tail: 0.00%
Epoch 150/200 - Loss: 0.4057, Val Acc: 51.03%, Head: 59.61%, Med: 16.70%, Tail: 0.00%
Epoch 151/200 - Loss: 0.4053, Val Acc: 47.10%, Head: 56.80%, Med: 8.30%, Tail: 0.00%
Epoch 152/200 - Loss: 0.3993, Val Acc: 48.59%, Head: 56.79%, Med: 15.80%, Tail: 0.00%
Epoch 153/200 - Loss: 0.3825, Val Acc: 46.48%, Head: 55.34%, Med: 11.05%, Tail: 0.00%
Epoch 154/200 - Loss: 0.3805, Val Acc: 47.72%, Head: 56.52%, Med: 12.50%, Tail: 0.00%
Epoch 155/200 - Loss: 0.3730, Val Acc: 49.45%, Head: 57.45%, Med: 17.45%, Tail: 0.00%
Epoch 156/200 - Loss: 0.3655, Val Acc: 50.25%, Head: 58.39%, Med: 17.70%, Tail: 0.00%
Epoch 157/200 - Loss: 0.3573, Val Acc: 47.75%, Head: 56.84%, Med: 11.40%, Tail: 0.00%
Epoch 158/200 - Loss: 0.3518, Val Acc: 48.10%, Head: 56.70%, Med: 13.70%, Tail: 0.00%
Epoch 159/200 - Loss: 0.3461, Val Acc: 51.07%, Head: 58.58%, Med: 21.05%, Tail: 0.00%
Epoch 160/200 - Loss: 0.3359, Val Acc: 49.64%, Head: 57.92%, Med: 16.50%, Tail: 0.00%
Epoch 161/200 - Loss: 0.3340, Val Acc: 48.80%, Head: 56.39%, Med: 18.45%, Tail: 0.00%
Epoch 162/200 - Loss: 0.3255, Val Acc: 48.41%, Head: 57.50%, Med: 12.05%, Tail: 0.00%
Epoch 163/200 - Loss: 0.3112, Val Acc: 49.58%, Head: 57.41%, Med: 18.25%, Tail: 0.00%
