nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run y045cj97
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073615-y045cj97
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/y045cj97
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 132/200 - Loss: 0.0888, Val Acc: 60.52%, Head: 69.11%, Med: 26.15%, Tail: 0.00%
[sgd] Epoch 133/200 - Loss: 0.0863, Val Acc: 62.58%, Head: 71.95%, Med: 25.10%, Tail: 0.00%
[sgd] Epoch 134/200 - Loss: 0.0882, Val Acc: 61.07%, Head: 68.62%, Med: 30.85%, Tail: 0.00%
[sgd] Epoch 135/200 - Loss: 0.0861, Val Acc: 62.54%, Head: 70.19%, Med: 31.95%, Tail: 0.00%
[sgd] Epoch 136/200 - Loss: 0.0801, Val Acc: 62.02%, Head: 69.74%, Med: 31.15%, Tail: 0.00%
[sgd] Epoch 137/200 - Loss: 0.0711, Val Acc: 61.73%, Head: 68.76%, Med: 33.60%, Tail: 0.00%
[sgd] Epoch 138/200 - Loss: 0.0721, Val Acc: 60.11%, Head: 68.09%, Med: 28.20%, Tail: 0.00%
[sgd] Epoch 139/200 - Loss: 0.0775, Val Acc: 60.97%, Head: 71.50%, Med: 18.85%, Tail: 0.00%
[sgd] Epoch 140/200 - Loss: 0.0656, Val Acc: 61.78%, Head: 68.97%, Med: 33.00%, Tail: 0.00%
[sgd] Epoch 141/200 - Loss: 0.0626, Val Acc: 59.96%, Head: 69.11%, Med: 23.35%, Tail: 0.00%
[sgd] Epoch 142/200 - Loss: 0.0619, Val Acc: 61.22%, Head: 69.91%, Med: 26.45%, Tail: 0.00%
[sgd] Epoch 143/200 - Loss: 0.0678, Val Acc: 61.91%, Head: 71.90%, Med: 21.95%, Tail: 0.00%
[sgd] Epoch 144/200 - Loss: 0.0567, Val Acc: 59.94%, Head: 67.19%, Med: 30.95%, Tail: 0.00%
[sgd] Epoch 145/200 - Loss: 0.0507, Val Acc: 60.09%, Head: 67.24%, Med: 31.50%, Tail: 0.00%
[sgd] Epoch 146/200 - Loss: 0.0550, Val Acc: 59.17%, Head: 68.94%, Med: 20.10%, Tail: 0.00%
[sgd] Epoch 147/200 - Loss: 0.0537, Val Acc: 62.21%, Head: 71.38%, Med: 25.55%, Tail: 0.00%
[sgd] Epoch 148/200 - Loss: 0.0488, Val Acc: 60.27%, Head: 70.60%, Med: 18.95%, Tail: 0.00%
[sgd] Epoch 149/200 - Loss: 0.0438, Val Acc: 62.69%, Head: 70.53%, Med: 31.35%, Tail: 0.00%
[sgd] Epoch 150/200 - Loss: 0.0475, Val Acc: 62.36%, Head: 69.46%, Med: 33.95%, Tail: 0.00%
[sgd] Epoch 151/200 - Loss: 0.0372, Val Acc: 60.52%, Head: 70.39%, Med: 21.05%, Tail: 0.00%
[sgd] Epoch 152/200 - Loss: 0.0365, Val Acc: 61.22%, Head: 70.38%, Med: 24.60%, Tail: 0.00%
[sgd] Epoch 153/200 - Loss: 0.0394, Val Acc: 61.82%, Head: 72.00%, Med: 21.10%, Tail: 0.00%
[sgd] Epoch 154/200 - Loss: 0.0368, Val Acc: 62.38%, Head: 70.22%, Med: 31.00%, Tail: 0.00%
[sgd] Epoch 155/200 - Loss: 0.0348, Val Acc: 63.92%, Head: 73.64%, Med: 25.05%, Tail: 0.00%
