nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run do7o152i
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065752-do7o152i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/do7o152i
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 100/200 - Loss: 0.5547, Val Acc: 43.79%, Head: 53.45%, Med: 5.15%, Tail: 0.00%
[adam] Epoch 101/200 - Loss: 0.5480, Val Acc: 43.89%, Head: 53.31%, Med: 6.20%, Tail: 0.00%
[adam] Epoch 102/200 - Loss: 0.5358, Val Acc: 47.58%, Head: 57.60%, Med: 7.50%, Tail: 0.00%
[adam] Epoch 103/200 - Loss: 0.5420, Val Acc: 47.19%, Head: 55.40%, Med: 14.35%, Tail: 0.00%
[adam] Epoch 104/200 - Loss: 0.5287, Val Acc: 45.09%, Head: 54.14%, Med: 8.90%, Tail: 0.00%
[adam] Epoch 105/200 - Loss: 0.5270, Val Acc: 48.11%, Head: 58.12%, Med: 8.05%, Tail: 0.00%
[adam] Epoch 106/200 - Loss: 0.5343, Val Acc: 45.17%, Head: 54.19%, Med: 9.10%, Tail: 0.00%
[adam] Epoch 107/200 - Loss: 0.5239, Val Acc: 43.37%, Head: 52.21%, Med: 8.00%, Tail: 0.00%
[adam] Epoch 108/200 - Loss: 0.5194, Val Acc: 47.14%, Head: 57.35%, Med: 6.30%, Tail: 0.00%
[adam] Epoch 109/200 - Loss: 0.5182, Val Acc: 48.93%, Head: 58.27%, Med: 11.55%, Tail: 0.00%
[adam] Epoch 110/200 - Loss: 0.5035, Val Acc: 47.65%, Head: 57.19%, Med: 9.50%, Tail: 0.00%
[adam] Epoch 111/200 - Loss: 0.4981, Val Acc: 47.55%, Head: 56.96%, Med: 9.90%, Tail: 0.00%
[adam] Epoch 112/200 - Loss: 0.4954, Val Acc: 47.34%, Head: 55.08%, Med: 16.40%, Tail: 0.00%
[adam] Epoch 113/200 - Loss: 0.4838, Val Acc: 46.47%, Head: 56.11%, Med: 7.90%, Tail: 0.00%
[adam] Epoch 114/200 - Loss: 0.4920, Val Acc: 47.15%, Head: 56.48%, Med: 9.85%, Tail: 0.00%
[adam] Epoch 115/200 - Loss: 0.4866, Val Acc: 48.33%, Head: 58.15%, Med: 9.05%, Tail: 0.00%
[adam] Epoch 116/200 - Loss: 0.4835, Val Acc: 46.19%, Head: 55.48%, Med: 9.05%, Tail: 0.00%
[adam] Epoch 117/200 - Loss: 0.4670, Val Acc: 46.21%, Head: 55.09%, Med: 10.70%, Tail: 0.00%
[adam] Epoch 118/200 - Loss: 0.4628, Val Acc: 49.49%, Head: 59.36%, Med: 10.00%, Tail: 0.00%
[adam] Epoch 119/200 - Loss: 0.4680, Val Acc: 45.85%, Head: 55.10%, Med: 8.85%, Tail: 0.00%
[adam] Epoch 120/200 - Loss: 0.4532, Val Acc: 50.21%, Head: 58.06%, Med: 18.80%, Tail: 0.00%
[adam] Epoch 121/200 - Loss: 0.4450, Val Acc: 49.48%, Head: 58.35%, Med: 14.00%, Tail: 0.00%
[adam] Epoch 122/200 - Loss: 0.4523, Val Acc: 48.82%, Head: 57.36%, Med: 14.65%, Tail: 0.00%
[adam] Epoch 123/200 - Loss: 0.4432, Val Acc: 49.43%, Head: 57.23%, Med: 18.25%, Tail: 0.00%
[adam] Epoch 124/200 - Loss: 0.4408, Val Acc: 47.86%, Head: 56.40%, Med: 13.70%, Tail: 0.00%
[adam] Epoch 125/200 - Loss: 0.4331, Val Acc: 49.60%, Head: 57.88%, Med: 16.50%, Tail: 0.00%
[adam] Epoch 126/200 - Loss: 0.4356, Val Acc: 48.60%, Head: 57.15%, Med: 14.40%, Tail: 0.00%
[adam] Epoch 127/200 - Loss: 0.4251, Val Acc: 47.28%, Head: 56.29%, Med: 11.25%, Tail: 0.00%
[adam] Epoch 128/200 - Loss: 0.4121, Val Acc: 47.52%, Head: 55.84%, Med: 14.25%, Tail: 0.00%
[adam] Epoch 129/200 - Loss: 0.4085, Val Acc: 48.59%, Head: 57.45%, Med: 13.15%, Tail: 0.00%
[adam] Epoch 130/200 - Loss: 0.4118, Val Acc: 47.73%, Head: 56.05%, Med: 14.45%, Tail: 0.00%
[adam] Epoch 131/200 - Loss: 0.4014, Val Acc: 47.05%, Head: 56.94%, Med: 7.50%, Tail: 0.00%
[adam] Epoch 132/200 - Loss: 0.4039, Val Acc: 48.54%, Head: 57.58%, Med: 12.40%, Tail: 0.00%
[adam] Epoch 133/200 - Loss: 0.3986, Val Acc: 47.04%, Head: 55.99%, Med: 11.25%, Tail: 0.00%
[adam] Epoch 134/200 - Loss: 0.3838, Val Acc: 48.00%, Head: 56.76%, Med: 12.95%, Tail: 0.00%
[adam] Epoch 135/200 - Loss: 0.3915, Val Acc: 48.46%, Head: 57.44%, Med: 12.55%, Tail: 0.00%
[adam] Epoch 136/200 - Loss: 0.3801, Val Acc: 47.28%, Head: 56.90%, Med: 8.80%, Tail: 0.00%
[adam] Epoch 137/200 - Loss: 0.3756, Val Acc: 46.91%, Head: 56.40%, Med: 8.95%, Tail: 0.00%
[adam] Epoch 138/200 - Loss: 0.3722, Val Acc: 49.80%, Head: 58.38%, Med: 15.50%, Tail: 0.00%
[adam] Epoch 139/200 - Loss: 0.3640, Val Acc: 48.78%, Head: 57.60%, Med: 13.50%, Tail: 0.00%
[adam] Epoch 140/200 - Loss: 0.3610, Val Acc: 49.51%, Head: 58.16%, Med: 14.90%, Tail: 0.00%
[adam] Epoch 141/200 - Loss: 0.3523, Val Acc: 48.04%, Head: 57.26%, Med: 11.15%, Tail: 0.00%
[adam] Epoch 142/200 - Loss: 0.3591, Val Acc: 46.98%, Head: 56.35%, Med: 9.50%, Tail: 0.00%
[adam] Epoch 143/200 - Loss: 0.3442, Val Acc: 49.65%, Head: 57.67%, Med: 17.55%, Tail: 0.00%
[adam] Epoch 144/200 - Loss: 0.3437, Val Acc: 49.01%, Head: 57.92%, Med: 13.35%, Tail: 0.00%
[adam] Epoch 145/200 - Loss: 0.3360, Val Acc: 47.45%, Head: 56.08%, Med: 12.95%, Tail: 0.00%
[adam] Epoch 146/200 - Loss: 0.3392, Val Acc: 47.60%, Head: 56.40%, Med: 12.40%, Tail: 0.00%
[adam] Epoch 147/200 - Loss: 0.3288, Val Acc: 48.33%, Head: 57.20%, Med: 12.85%, Tail: 0.00%
[adam] Epoch 148/200 - Loss: 0.3229, Val Acc: 48.45%, Head: 57.81%, Med: 11.00%, Tail: 0.00%
[adam] Epoch 149/200 - Loss: 0.3214, Val Acc: 48.38%, Head: 57.59%, Med: 11.55%, Tail: 0.00%
[adam] Epoch 150/200 - Loss: 0.3114, Val Acc: 47.91%, Head: 56.23%, Med: 14.65%, Tail: 0.00%
[adam] Epoch 151/200 - Loss: 0.3135, Val Acc: 47.94%, Head: 56.76%, Med: 12.65%, Tail: 0.00%
[adam] Epoch 152/200 - Loss: 0.3053, Val Acc: 47.73%, Head: 56.79%, Med: 11.50%, Tail: 0.00%
[adam] Epoch 153/200 - Loss: 0.2931, Val Acc: 48.45%, Head: 56.38%, Med: 16.75%, Tail: 0.00%
[adam] Epoch 154/200 - Loss: 0.2934, Val Acc: 48.27%, Head: 57.95%, Med: 9.55%, Tail: 0.00%
[adam] Epoch 155/200 - Loss: 0.2982, Val Acc: 48.06%, Head: 55.96%, Med: 16.45%, Tail: 0.00%
[adam] Epoch 156/200 - Loss: 0.2962, Val Acc: 48.50%, Head: 57.04%, Med: 14.35%, Tail: 0.00%
[adam] Epoch 157/200 - Loss: 0.2945, Val Acc: 49.06%, Head: 57.40%, Med: 15.70%, Tail: 0.00%
[adam] Epoch 158/200 - Loss: 0.2748, Val Acc: 48.22%, Head: 57.35%, Med: 11.70%, Tail: 0.00%
[adam] Epoch 159/200 - Loss: 0.2736, Val Acc: 48.68%, Head: 57.19%, Med: 14.65%, Tail: 0.00%
[adam] Epoch 160/200 - Loss: 0.2784, Val Acc: 48.21%, Head: 56.99%, Med: 13.10%, Tail: 0.00%
[adam] Epoch 161/200 - Loss: 0.2704, Val Acc: 48.30%, Head: 57.51%, Med: 11.45%, Tail: 0.00%
[adam] Epoch 162/200 - Loss: 0.2696, Val Acc: 48.52%, Head: 56.79%, Med: 15.45%, Tail: 0.00%
[adam] Epoch 163/200 - Loss: 0.2613, Val Acc: 48.75%, Head: 57.45%, Med: 13.95%, Tail: 0.00%
[adam] Epoch 164/200 - Loss: 0.2541, Val Acc: 48.31%, Head: 57.15%, Med: 12.95%, Tail: 0.00%
