nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run oo6mx125
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_022239-oo6mx125
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/oo6mx125
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=2400: 63.354% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 75/200 - Loss: 0.0750, Val Acc: 59.62%, Head: 68.29%, Med: 24.95%, Tail: 0.00%
[trinity] Epoch 76/200 - Loss: 0.0809, Val Acc: 59.22%, Head: 67.90%, Med: 24.50%, Tail: 0.00%
[trinity] Epoch 77/200 - Loss: 0.0725, Val Acc: 58.15%, Head: 66.35%, Med: 25.35%, Tail: 0.00%
[trinity] Epoch 78/200 - Loss: 0.0757, Val Acc: 58.82%, Head: 67.30%, Med: 24.90%, Tail: 0.00%
[trinity] Epoch 79/200 - Loss: 0.0675, Val Acc: 58.43%, Head: 67.88%, Med: 20.65%, Tail: 0.00%
[trinity] Epoch 80/200 - Loss: 0.0616, Val Acc: 59.18%, Head: 69.15%, Med: 19.30%, Tail: 0.00%
[trinity] Epoch 81/200 - Loss: 0.0638, Val Acc: 58.97%, Head: 68.45%, Med: 21.05%, Tail: 0.00%
[trinity] Epoch 82/200 - Loss: 0.0683, Val Acc: 60.49%, Head: 68.50%, Med: 28.45%, Tail: 0.00%
[trinity] Epoch 83/200 - Loss: 0.0628, Val Acc: 59.82%, Head: 68.09%, Med: 26.75%, Tail: 0.00%
[trinity] Epoch 84/200 - Loss: 0.0596, Val Acc: 59.64%, Head: 68.85%, Med: 22.80%, Tail: 0.00%
[trinity] Epoch 85/200 - Loss: 0.0578, Val Acc: 58.32%, Head: 67.00%, Med: 23.60%, Tail: 0.00%
[trinity] Epoch 86/200 - Loss: 0.0566, Val Acc: 60.93%, Head: 68.90%, Med: 29.05%, Tail: 0.00%
[trinity] Epoch 87/200 - Loss: 0.0584, Val Acc: 59.36%, Head: 67.46%, Med: 26.95%, Tail: 0.00%
[trinity] Epoch 88/200 - Loss: 0.0574, Val Acc: 60.07%, Head: 69.10%, Med: 23.95%, Tail: 0.00%
