nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run s7knrlz7
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024022-s7knrlz7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/s7knrlz7
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 70/200 - Loss: 0.1409, Val Acc: 58.45%, Head: 66.76%, Med: 25.20%, Tail: 0.00%
[adam] Epoch 71/200 - Loss: 0.1436, Val Acc: 56.94%, Head: 66.85%, Med: 17.30%, Tail: 0.00%
[adam] Epoch 72/200 - Loss: 0.1402, Val Acc: 58.85%, Head: 68.62%, Med: 19.75%, Tail: 0.00%
[adam] Epoch 73/200 - Loss: 0.1359, Val Acc: 56.75%, Head: 67.01%, Med: 15.70%, Tail: 0.00%
[adam] Epoch 74/200 - Loss: 0.1355, Val Acc: 60.74%, Head: 68.12%, Med: 31.20%, Tail: 0.00%
[adam] Epoch 75/200 - Loss: 0.1291, Val Acc: 57.12%, Head: 64.45%, Med: 27.80%, Tail: 0.00%
[adam] Epoch 76/200 - Loss: 0.1270, Val Acc: 61.97%, Head: 68.61%, Med: 35.40%, Tail: 0.00%
[adam] Epoch 77/200 - Loss: 0.1220, Val Acc: 57.19%, Head: 64.91%, Med: 26.30%, Tail: 0.00%
[adam] Epoch 78/200 - Loss: 0.1277, Val Acc: 60.55%, Head: 67.74%, Med: 31.80%, Tail: 0.00%
[adam] Epoch 79/200 - Loss: 0.1169, Val Acc: 59.39%, Head: 68.22%, Med: 24.05%, Tail: 0.00%
[adam] Epoch 80/200 - Loss: 0.1084, Val Acc: 60.56%, Head: 67.08%, Med: 34.50%, Tail: 0.00%
[adam] Epoch 81/200 - Loss: 0.1134, Val Acc: 58.37%, Head: 67.50%, Med: 21.85%, Tail: 0.00%
[adam] Epoch 82/200 - Loss: 0.1115, Val Acc: 60.60%, Head: 66.94%, Med: 35.25%, Tail: 0.00%
[adam] Epoch 83/200 - Loss: 0.1091, Val Acc: 58.07%, Head: 67.00%, Med: 22.35%, Tail: 0.00%
[adam] Epoch 84/200 - Loss: 0.1024, Val Acc: 58.56%, Head: 67.11%, Med: 24.35%, Tail: 0.00%
[adam] Epoch 85/200 - Loss: 0.1067, Val Acc: 58.78%, Head: 67.58%, Med: 23.60%, Tail: 0.00%
[adam] Epoch 86/200 - Loss: 0.0969, Val Acc: 55.73%, Head: 65.19%, Med: 17.90%, Tail: 0.00%
[adam] Epoch 87/200 - Loss: 0.0937, Val Acc: 58.38%, Head: 67.12%, Med: 23.40%, Tail: 0.00%
[adam] Epoch 88/200 - Loss: 0.0908, Val Acc: 57.76%, Head: 66.39%, Med: 23.25%, Tail: 0.00%
[adam] Epoch 89/200 - Loss: 0.0913, Val Acc: 58.61%, Head: 68.75%, Med: 18.05%, Tail: 0.00%
[adam] Epoch 90/200 - Loss: 0.0891, Val Acc: 56.82%, Head: 66.72%, Med: 17.20%, Tail: 0.00%
[adam] Epoch 91/200 - Loss: 0.0913, Val Acc: 59.47%, Head: 67.76%, Med: 26.30%, Tail: 0.00%
[adam] Epoch 92/200 - Loss: 0.0886, Val Acc: 58.82%, Head: 67.81%, Med: 22.85%, Tail: 0.00%
[adam] Epoch 93/200 - Loss: 0.0870, Val Acc: 60.20%, Head: 67.26%, Med: 31.95%, Tail: 0.00%
[adam] Epoch 94/200 - Loss: 0.0801, Val Acc: 58.91%, Head: 66.56%, Med: 28.30%, Tail: 0.00%
[adam] Epoch 95/200 - Loss: 0.0810, Val Acc: 59.03%, Head: 68.04%, Med: 23.00%, Tail: 0.00%
[adam] Epoch 96/200 - Loss: 0.0839, Val Acc: 61.64%, Head: 69.94%, Med: 28.45%, Tail: 0.00%
[adam] Epoch 97/200 - Loss: 0.0787, Val Acc: 58.82%, Head: 68.06%, Med: 21.85%, Tail: 0.00%
[adam] Epoch 98/200 - Loss: 0.0716, Val Acc: 59.17%, Head: 68.49%, Med: 21.90%, Tail: 0.00%
[adam] Epoch 99/200 - Loss: 0.0692, Val Acc: 61.37%, Head: 69.19%, Med: 30.10%, Tail: 0.00%
[adam] Epoch 100/200 - Loss: 0.0711, Val Acc: 58.19%, Head: 68.19%, Med: 18.20%, Tail: 0.00%
[adam] Epoch 101/200 - Loss: 0.0679, Val Acc: 58.24%, Head: 67.54%, Med: 21.05%, Tail: 0.00%
[adam] Epoch 102/200 - Loss: 0.0639, Val Acc: 61.23%, Head: 68.33%, Med: 32.85%, Tail: 0.00%
[adam] Epoch 103/200 - Loss: 0.0673, Val Acc: 60.33%, Head: 68.99%, Med: 25.70%, Tail: 0.00%
[adam] Epoch 104/200 - Loss: 0.0609, Val Acc: 61.22%, Head: 67.88%, Med: 34.60%, Tail: 0.00%
[adam] Epoch 105/200 - Loss: 0.0674, Val Acc: 55.57%, Head: 64.90%, Med: 18.25%, Tail: 0.00%
[adam] Epoch 106/200 - Loss: 0.0585, Val Acc: 58.31%, Head: 67.61%, Med: 21.10%, Tail: 0.00%
[adam] Epoch 107/200 - Loss: 0.0630, Val Acc: 59.87%, Head: 67.84%, Med: 28.00%, Tail: 0.00%
[adam] Epoch 108/200 - Loss: 0.0528, Val Acc: 62.25%, Head: 68.05%, Med: 39.05%, Tail: 0.00%
[adam] Epoch 109/200 - Loss: 0.0480, Val Acc: 60.03%, Head: 67.39%, Med: 30.60%, Tail: 0.00%
[adam] Epoch 110/200 - Loss: 0.0480, Val Acc: 59.21%, Head: 67.20%, Med: 27.25%, Tail: 0.00%
[adam] Epoch 111/200 - Loss: 0.0594, Val Acc: 61.03%, Head: 69.64%, Med: 26.60%, Tail: 0.00%
[adam] Epoch 112/200 - Loss: 0.0532, Val Acc: 59.08%, Head: 66.84%, Med: 28.05%, Tail: 0.00%
[adam] Epoch 113/200 - Loss: 0.0527, Val Acc: 57.50%, Head: 66.56%, Med: 21.25%, Tail: 0.00%
[adam] Epoch 114/200 - Loss: 0.0527, Val Acc: 58.63%, Head: 66.72%, Med: 26.25%, Tail: 0.00%
[adam] Epoch 115/200 - Loss: 0.0473, Val Acc: 60.83%, Head: 68.66%, Med: 29.50%, Tail: 0.00%
[adam] Epoch 116/200 - Loss: 0.0410, Val Acc: 58.54%, Head: 67.79%, Med: 21.55%, Tail: 0.00%
[adam] Epoch 117/200 - Loss: 0.0428, Val Acc: 59.28%, Head: 68.21%, Med: 23.55%, Tail: 0.00%
[adam] Epoch 118/200 - Loss: 0.0445, Val Acc: 60.41%, Head: 68.64%, Med: 27.50%, Tail: 0.00%
[adam] Epoch 119/200 - Loss: 0.0416, Val Acc: 60.17%, Head: 68.90%, Med: 25.25%, Tail: 0.00%
[adam] Epoch 120/200 - Loss: 0.0358, Val Acc: 59.85%, Head: 68.89%, Med: 23.70%, Tail: 0.00%
[adam] Epoch 121/200 - Loss: 0.0375, Val Acc: 61.84%, Head: 69.67%, Med: 30.50%, Tail: 0.00%
[adam] Epoch 122/200 - Loss: 0.0409, Val Acc: 58.93%, Head: 69.14%, Med: 18.10%, Tail: 0.00%
[adam] Epoch 123/200 - Loss: 0.0310, Val Acc: 59.91%, Head: 68.66%, Med: 24.90%, Tail: 0.00%
[adam] Epoch 124/200 - Loss: 0.0306, Val Acc: 60.66%, Head: 68.70%, Med: 28.50%, Tail: 0.00%
[adam] Epoch 125/200 - Loss: 0.0334, Val Acc: 58.02%, Head: 67.41%, Med: 20.45%, Tail: 0.00%
[adam] Epoch 126/200 - Loss: 0.0356, Val Acc: 60.18%, Head: 68.67%, Med: 26.20%, Tail: 0.00%
[adam] Epoch 127/200 - Loss: 0.0371, Val Acc: 60.39%, Head: 69.74%, Med: 23.00%, Tail: 0.00%
[adam] Epoch 128/200 - Loss: 0.0305, Val Acc: 60.97%, Head: 69.11%, Med: 28.40%, Tail: 0.00%
[adam] Epoch 129/200 - Loss: 0.0271, Val Acc: 59.59%, Head: 68.80%, Med: 22.75%, Tail: 0.00%
[adam] Epoch 130/200 - Loss: 0.0252, Val Acc: 58.58%, Head: 68.90%, Med: 17.30%, Tail: 0.00%
[adam] Epoch 131/200 - Loss: 0.0272, Val Acc: 60.23%, Head: 69.12%, Med: 24.65%, Tail: 0.00%
[adam] Epoch 132/200 - Loss: 0.0286, Val Acc: 58.41%, Head: 67.36%, Med: 22.60%, Tail: 0.00%
[adam] Epoch 133/200 - Loss: 0.0253, Val Acc: 57.63%, Head: 66.94%, Med: 20.40%, Tail: 0.00%
[adam] Epoch 134/200 - Loss: 0.0218, Val Acc: 58.65%, Head: 68.72%, Med: 18.35%, Tail: 0.00%
[adam] Epoch 135/200 - Loss: 0.0206, Val Acc: 58.76%, Head: 68.65%, Med: 19.20%, Tail: 0.00%
[adam] Epoch 136/200 - Loss: 0.0241, Val Acc: 58.93%, Head: 67.39%, Med: 25.10%, Tail: 0.00%
[adam] Epoch 137/200 - Loss: 0.0185, Val Acc: 58.46%, Head: 67.59%, Med: 21.95%, Tail: 0.00%
