nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run az7n5eqw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_025622-az7n5eqw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/az7n5eqw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 97/200 - Loss: 0.0889, Val Acc: 56.77%, Head: 65.71%, Med: 21.00%, Tail: 0.00%
[rmsprop] Epoch 98/200 - Loss: 0.0875, Val Acc: 58.70%, Head: 68.62%, Med: 19.00%, Tail: 0.00%
[rmsprop] Epoch 99/200 - Loss: 0.0814, Val Acc: 59.18%, Head: 67.36%, Med: 26.45%, Tail: 0.00%
[rmsprop] Epoch 100/200 - Loss: 0.0830, Val Acc: 58.88%, Head: 67.39%, Med: 24.85%, Tail: 0.00%
[rmsprop] Epoch 101/200 - Loss: 0.0755, Val Acc: 60.54%, Head: 69.34%, Med: 25.35%, Tail: 0.00%
[rmsprop] Epoch 102/200 - Loss: 0.0742, Val Acc: 60.07%, Head: 68.76%, Med: 25.30%, Tail: 0.00%
[rmsprop] Epoch 103/200 - Loss: 0.0721, Val Acc: 57.32%, Head: 66.38%, Med: 21.10%, Tail: 0.00%
[rmsprop] Epoch 104/200 - Loss: 0.0763, Val Acc: 56.26%, Head: 65.99%, Med: 17.35%, Tail: 0.00%
[rmsprop] Epoch 105/200 - Loss: 0.0678, Val Acc: 59.56%, Head: 68.06%, Med: 25.55%, Tail: 0.00%
[rmsprop] Epoch 106/200 - Loss: 0.0652, Val Acc: 58.38%, Head: 67.14%, Med: 23.35%, Tail: 0.00%
[rmsprop] Epoch 107/200 - Loss: 0.0697, Val Acc: 58.07%, Head: 68.25%, Med: 17.35%, Tail: 0.00%
