nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jz1a10si
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073641-jz1a10si
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/jz1a10si
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 113/200 - Loss: 0.0501, Val Acc: 54.50%, Head: 64.95%, Med: 12.70%, Tail: 0.00%
[rmsprop] Epoch 114/200 - Loss: 0.0487, Val Acc: 58.17%, Head: 67.36%, Med: 21.40%, Tail: 0.00%
[rmsprop] Epoch 115/200 - Loss: 0.0525, Val Acc: 57.67%, Head: 66.19%, Med: 23.60%, Tail: 0.00%
[rmsprop] Epoch 116/200 - Loss: 0.0446, Val Acc: 58.75%, Head: 66.60%, Med: 27.35%, Tail: 0.00%
[rmsprop] Epoch 117/200 - Loss: 0.0465, Val Acc: 53.83%, Head: 64.33%, Med: 11.85%, Tail: 0.00%
[rmsprop] Epoch 118/200 - Loss: 0.0472, Val Acc: 58.52%, Head: 66.86%, Med: 25.15%, Tail: 0.00%
[rmsprop] Epoch 119/200 - Loss: 0.0466, Val Acc: 56.34%, Head: 65.89%, Med: 18.15%, Tail: 0.00%
[rmsprop] Epoch 120/200 - Loss: 0.0379, Val Acc: 58.05%, Head: 66.14%, Med: 25.70%, Tail: 0.00%
[rmsprop] Epoch 121/200 - Loss: 0.0379, Val Acc: 57.31%, Head: 66.21%, Med: 21.70%, Tail: 0.00%
[rmsprop] Epoch 122/200 - Loss: 0.0369, Val Acc: 55.05%, Head: 64.59%, Med: 16.90%, Tail: 0.00%
