nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run b367s1ue
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073554-b367s1ue
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/b367s1ue
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 110/200 - Loss: 0.0455, Val Acc: 58.18%, Head: 67.97%, Med: 19.00%, Tail: 0.00%
[adam] Epoch 111/200 - Loss: 0.0486, Val Acc: 59.11%, Head: 68.99%, Med: 19.60%, Tail: 0.00%
[adam] Epoch 112/200 - Loss: 0.0402, Val Acc: 60.59%, Head: 69.28%, Med: 25.85%, Tail: 0.00%
[adam] Epoch 113/200 - Loss: 0.0390, Val Acc: 59.13%, Head: 68.03%, Med: 23.55%, Tail: 0.00%
[adam] Epoch 114/200 - Loss: 0.0387, Val Acc: 58.01%, Head: 68.46%, Med: 16.20%, Tail: 0.00%
[adam] Epoch 115/200 - Loss: 0.0329, Val Acc: 60.07%, Head: 69.08%, Med: 24.05%, Tail: 0.00%
[adam] Epoch 116/200 - Loss: 0.0394, Val Acc: 57.41%, Head: 67.75%, Med: 16.05%, Tail: 0.00%
[adam] Epoch 117/200 - Loss: 0.0343, Val Acc: 56.44%, Head: 65.49%, Med: 20.25%, Tail: 0.00%
[adam] Epoch 118/200 - Loss: 0.0321, Val Acc: 57.18%, Head: 67.20%, Med: 17.10%, Tail: 0.00%
[adam] Epoch 119/200 - Loss: 0.0408, Val Acc: 59.95%, Head: 68.31%, Med: 26.50%, Tail: 0.00%
[adam] Epoch 120/200 - Loss: 0.0351, Val Acc: 57.54%, Head: 66.51%, Med: 21.65%, Tail: 0.00%
[adam] Epoch 121/200 - Loss: 0.0279, Val Acc: 57.27%, Head: 67.47%, Med: 16.45%, Tail: 0.00%
[adam] Epoch 122/200 - Loss: 0.0320, Val Acc: 58.58%, Head: 67.64%, Med: 22.35%, Tail: 0.00%
[adam] Epoch 123/200 - Loss: 0.0261, Val Acc: 56.80%, Head: 66.74%, Med: 17.05%, Tail: 0.00%
[adam] Epoch 124/200 - Loss: 0.0292, Val Acc: 57.11%, Head: 67.04%, Med: 17.40%, Tail: 0.00%
[adam] Epoch 125/200 - Loss: 0.0262, Val Acc: 60.32%, Head: 68.80%, Med: 26.40%, Tail: 0.00%
[adam] Epoch 126/200 - Loss: 0.0284, Val Acc: 59.16%, Head: 67.90%, Med: 24.20%, Tail: 0.00%
[adam] Epoch 127/200 - Loss: 0.0248, Val Acc: 60.32%, Head: 67.89%, Med: 30.05%, Tail: 0.00%
[adam] Epoch 128/200 - Loss: 0.0216, Val Acc: 59.57%, Head: 68.58%, Med: 23.55%, Tail: 0.00%
[adam] Epoch 129/200 - Loss: 0.0241, Val Acc: 57.63%, Head: 66.66%, Med: 21.50%, Tail: 0.00%
[adam] Epoch 130/200 - Loss: 0.0272, Val Acc: 61.00%, Head: 69.01%, Med: 28.95%, Tail: 0.00%
[adam] Epoch 131/200 - Loss: 0.0166, Val Acc: 59.11%, Head: 68.86%, Med: 20.10%, Tail: 0.00%
[adam] Epoch 132/200 - Loss: 0.0181, Val Acc: 58.65%, Head: 68.05%, Med: 21.05%, Tail: 0.00%
[adam] Epoch 133/200 - Loss: 0.0193, Val Acc: 57.35%, Head: 67.70%, Med: 15.95%, Tail: 0.00%
[adam] Epoch 134/200 - Loss: 0.0143, Val Acc: 58.07%, Head: 67.29%, Med: 21.20%, Tail: 0.00%
[adam] Epoch 135/200 - Loss: 0.0178, Val Acc: 58.44%, Head: 68.00%, Med: 20.20%, Tail: 0.00%
[adam] Epoch 136/200 - Loss: 0.0198, Val Acc: 58.11%, Head: 67.60%, Med: 20.15%, Tail: 0.00%
[adam] Epoch 137/200 - Loss: 0.0131, Val Acc: 58.43%, Head: 67.83%, Med: 20.85%, Tail: 0.00%
[adam] Epoch 138/200 - Loss: 0.0152, Val Acc: 58.59%, Head: 68.26%, Med: 19.90%, Tail: 0.00%
[adam] Epoch 139/200 - Loss: 0.0138, Val Acc: 58.48%, Head: 68.72%, Med: 17.50%, Tail: 0.00%
[adam] Epoch 140/200 - Loss: 0.0123, Val Acc: 59.69%, Head: 68.01%, Med: 26.40%, Tail: 0.00%
[adam] Epoch 141/200 - Loss: 0.0120, Val Acc: 59.25%, Head: 69.66%, Med: 17.60%, Tail: 0.00%
[adam] Epoch 142/200 - Loss: 0.0103, Val Acc: 59.19%, Head: 68.19%, Med: 23.20%, Tail: 0.00%
[adam] Epoch 143/200 - Loss: 0.0121, Val Acc: 58.48%, Head: 69.29%, Med: 15.25%, Tail: 0.00%
[adam] Epoch 144/200 - Loss: 0.0116, Val Acc: 58.32%, Head: 67.53%, Med: 21.50%, Tail: 0.00%
[adam] Epoch 145/200 - Loss: 0.0122, Val Acc: 58.89%, Head: 68.34%, Med: 21.10%, Tail: 0.00%
[adam] Epoch 146/200 - Loss: 0.0090, Val Acc: 59.84%, Head: 67.97%, Med: 27.30%, Tail: 0.00%
[adam] Epoch 147/200 - Loss: 0.0081, Val Acc: 59.08%, Head: 69.16%, Med: 18.75%, Tail: 0.00%
[adam] Epoch 148/200 - Loss: 0.0075, Val Acc: 60.90%, Head: 69.26%, Med: 27.45%, Tail: 0.00%
[adam] Epoch 149/200 - Loss: 0.0082, Val Acc: 60.13%, Head: 69.19%, Med: 23.90%, Tail: 0.00%
[adam] Epoch 150/200 - Loss: 0.0087, Val Acc: 58.51%, Head: 68.24%, Med: 19.60%, Tail: 0.00%
[adam] Epoch 151/200 - Loss: 0.0057, Val Acc: 59.85%, Head: 69.03%, Med: 23.15%, Tail: 0.00%
[adam] Epoch 152/200 - Loss: 0.0070, Val Acc: 59.96%, Head: 68.66%, Med: 25.15%, Tail: 0.00%
[adam] Epoch 153/200 - Loss: 0.0049, Val Acc: 60.53%, Head: 68.96%, Med: 26.80%, Tail: 0.00%
[adam] Epoch 154/200 - Loss: 0.0073, Val Acc: 59.15%, Head: 68.38%, Med: 22.25%, Tail: 0.00%
[adam] Epoch 155/200 - Loss: 0.0066, Val Acc: 59.59%, Head: 69.12%, Med: 21.45%, Tail: 0.00%
[adam] Epoch 156/200 - Loss: 0.0063, Val Acc: 59.40%, Head: 68.56%, Med: 22.75%, Tail: 0.00%
[adam] Epoch 157/200 - Loss: 0.0028, Val Acc: 60.61%, Head: 69.05%, Med: 26.85%, Tail: 0.00%
[adam] Epoch 158/200 - Loss: 0.0064, Val Acc: 58.69%, Head: 68.03%, Med: 21.35%, Tail: 0.00%
[adam] Epoch 159/200 - Loss: 0.0033, Val Acc: 60.83%, Head: 69.99%, Med: 24.20%, Tail: 0.00%
[adam] Epoch 160/200 - Loss: 0.0037, Val Acc: 61.16%, Head: 70.53%, Med: 23.70%, Tail: 0.00%
[adam] Epoch 161/200 - Loss: 0.0029, Val Acc: 59.45%, Head: 69.14%, Med: 20.70%, Tail: 0.00%
[adam] Epoch 162/200 - Loss: 0.0030, Val Acc: 59.49%, Head: 69.53%, Med: 19.35%, Tail: 0.00%
[adam] Epoch 163/200 - Loss: 0.0034, Val Acc: 60.22%, Head: 69.72%, Med: 22.20%, Tail: 0.00%
[adam] Epoch 164/200 - Loss: 0.0040, Val Acc: 59.63%, Head: 68.84%, Med: 22.80%, Tail: 0.00%
[adam] Epoch 165/200 - Loss: 0.0025, Val Acc: 59.94%, Head: 69.59%, Med: 21.35%, Tail: 0.00%
[adam] Epoch 166/200 - Loss: 0.0028, Val Acc: 59.47%, Head: 69.49%, Med: 19.40%, Tail: 0.00%
[adam] Epoch 167/200 - Loss: 0.0019, Val Acc: 59.34%, Head: 69.29%, Med: 19.55%, Tail: 0.00%
[adam] Epoch 168/200 - Loss: 0.0035, Val Acc: 59.91%, Head: 69.00%, Med: 23.55%, Tail: 0.00%
[adam] Epoch 169/200 - Loss: 0.0021, Val Acc: 59.32%, Head: 69.83%, Med: 17.30%, Tail: 0.00%
[adam] Epoch 170/200 - Loss: 0.0022, Val Acc: 60.22%, Head: 69.79%, Med: 21.95%, Tail: 0.00%
[adam] Epoch 171/200 - Loss: 0.0019, Val Acc: 60.20%, Head: 68.75%, Med: 26.00%, Tail: 0.00%
[adam] Epoch 172/200 - Loss: 0.0028, Val Acc: 60.12%, Head: 69.06%, Med: 24.35%, Tail: 0.00%
[adam] Epoch 173/200 - Loss: 0.0015, Val Acc: 59.93%, Head: 69.46%, Med: 21.80%, Tail: 0.00%
[adam] Epoch 174/200 - Loss: 0.0020, Val Acc: 60.44%, Head: 69.55%, Med: 24.00%, Tail: 0.00%
[adam] Epoch 175/200 - Loss: 0.0010, Val Acc: 59.77%, Head: 69.14%, Med: 22.30%, Tail: 0.00%
[adam] Epoch 176/200 - Loss: 0.0014, Val Acc: 60.24%, Head: 69.36%, Med: 23.75%, Tail: 0.00%
[adam] Epoch 177/200 - Loss: 0.0013, Val Acc: 59.96%, Head: 69.28%, Med: 22.70%, Tail: 0.00%
[adam] Epoch 178/200 - Loss: 0.0016, Val Acc: 60.49%, Head: 69.76%, Med: 23.40%, Tail: 0.00%
[adam] Epoch 179/200 - Loss: 0.0009, Val Acc: 60.74%, Head: 69.99%, Med: 23.75%, Tail: 0.00%
[adam] Epoch 180/200 - Loss: 0.0016, Val Acc: 60.25%, Head: 69.36%, Med: 23.80%, Tail: 0.00%
[adam] Epoch 181/200 - Loss: 0.0011, Val Acc: 60.73%, Head: 70.00%, Med: 23.65%, Tail: 0.00%
[adam] Epoch 182/200 - Loss: 0.0010, Val Acc: 60.90%, Head: 70.12%, Med: 24.00%, Tail: 0.00%
[adam] Epoch 183/200 - Loss: 0.0011, Val Acc: 60.81%, Head: 69.64%, Med: 25.50%, Tail: 0.00%
[adam] Epoch 184/200 - Loss: 0.0008, Val Acc: 60.30%, Head: 69.33%, Med: 24.20%, Tail: 0.00%
[adam] Epoch 185/200 - Loss: 0.0018, Val Acc: 60.82%, Head: 69.69%, Med: 25.35%, Tail: 0.00%
[adam] Epoch 186/200 - Loss: 0.0011, Val Acc: 60.75%, Head: 69.94%, Med: 24.00%, Tail: 0.00%
