nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run somsrgku
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120624-somsrgku
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run WideResNet_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/somsrgku
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 113/200 - Loss: 0.0209, Val Acc: 61.76%, Head: 71.66%, Med: 22.15%, Tail: 0.00%
Epoch 114/200 - Loss: 0.0225, Val Acc: 60.97%, Head: 69.60%, Med: 26.45%, Tail: 0.00%
Epoch 115/200 - Loss: 0.0214, Val Acc: 60.88%, Head: 69.94%, Med: 24.65%, Tail: 0.00%
Epoch 116/200 - Loss: 0.0270, Val Acc: 60.51%, Head: 70.45%, Med: 20.75%, Tail: 0.00%
Epoch 117/200 - Loss: 0.0236, Val Acc: 60.81%, Head: 72.42%, Med: 14.35%, Tail: 0.00%
Epoch 118/200 - Loss: 0.0185, Val Acc: 59.88%, Head: 71.10%, Med: 15.00%, Tail: 0.00%
Epoch 119/200 - Loss: 0.0185, Val Acc: 61.52%, Head: 72.30%, Med: 18.40%, Tail: 0.00%
Epoch 120/200 - Loss: 0.0168, Val Acc: 61.96%, Head: 71.94%, Med: 22.05%, Tail: 0.00%
Epoch 121/200 - Loss: 0.0197, Val Acc: 60.46%, Head: 70.99%, Med: 18.35%, Tail: 0.00%
Epoch 122/200 - Loss: 0.0146, Val Acc: 62.47%, Head: 71.91%, Med: 24.70%, Tail: 0.00%
Epoch 123/200 - Loss: 0.0197, Val Acc: 59.98%, Head: 71.08%, Med: 15.60%, Tail: 0.00%
Epoch 124/200 - Loss: 0.0159, Val Acc: 61.41%, Head: 71.51%, Med: 21.00%, Tail: 0.00%
Epoch 125/200 - Loss: 0.0161, Val Acc: 63.16%, Head: 72.05%, Med: 27.60%, Tail: 0.00%
Epoch 126/200 - Loss: 0.0175, Val Acc: 61.53%, Head: 72.59%, Med: 17.30%, Tail: 0.00%
Epoch 127/200 - Loss: 0.0127, Val Acc: 61.75%, Head: 71.33%, Med: 23.45%, Tail: 0.00%
Epoch 128/200 - Loss: 0.0101, Val Acc: 59.24%, Head: 70.56%, Med: 13.95%, Tail: 0.00%
Epoch 129/200 - Loss: 0.0123, Val Acc: 61.15%, Head: 72.20%, Med: 16.95%, Tail: 0.00%
Epoch 130/200 - Loss: 0.0114, Val Acc: 61.40%, Head: 71.75%, Med: 20.00%, Tail: 0.00%
Epoch 131/200 - Loss: 0.0150, Val Acc: 60.76%, Head: 70.30%, Med: 22.60%, Tail: 0.00%
Epoch 132/200 - Loss: 0.0108, Val Acc: 61.46%, Head: 70.88%, Med: 23.80%, Tail: 0.00%
Epoch 133/200 - Loss: 0.0111, Val Acc: 61.51%, Head: 70.34%, Med: 26.20%, Tail: 0.00%
Epoch 134/200 - Loss: 0.0114, Val Acc: 60.45%, Head: 69.25%, Med: 25.25%, Tail: 0.00%
Epoch 135/200 - Loss: 0.0095, Val Acc: 62.79%, Head: 72.86%, Med: 22.50%, Tail: 0.00%
Epoch 136/200 - Loss: 0.0104, Val Acc: 62.21%, Head: 72.46%, Med: 21.20%, Tail: 0.00%
Epoch 137/200 - Loss: 0.0080, Val Acc: 63.87%, Head: 73.40%, Med: 25.75%, Tail: 0.00%
Epoch 138/200 - Loss: 0.0085, Val Acc: 60.82%, Head: 70.99%, Med: 20.15%, Tail: 0.00%
Epoch 139/200 - Loss: 0.0061, Val Acc: 62.31%, Head: 72.00%, Med: 23.55%, Tail: 0.00%
Epoch 140/200 - Loss: 0.0069, Val Acc: 62.18%, Head: 71.62%, Med: 24.40%, Tail: 0.00%
Epoch 141/200 - Loss: 0.0095, Val Acc: 60.10%, Head: 70.24%, Med: 19.55%, Tail: 0.00%
Epoch 142/200 - Loss: 0.0059, Val Acc: 60.42%, Head: 70.09%, Med: 21.75%, Tail: 0.00%
Epoch 143/200 - Loss: 0.0079, Val Acc: 61.17%, Head: 71.84%, Med: 18.50%, Tail: 0.00%
Epoch 144/200 - Loss: 0.0068, Val Acc: 61.35%, Head: 71.47%, Med: 20.85%, Tail: 0.00%
Epoch 145/200 - Loss: 0.0068, Val Acc: 62.79%, Head: 72.80%, Med: 22.75%, Tail: 0.00%
Epoch 146/200 - Loss: 0.0053, Val Acc: 61.17%, Head: 71.31%, Med: 20.60%, Tail: 0.00%
Epoch 147/200 - Loss: 0.0086, Val Acc: 61.38%, Head: 71.04%, Med: 22.75%, Tail: 0.00%
Epoch 148/200 - Loss: 0.0058, Val Acc: 59.57%, Head: 69.03%, Med: 21.75%, Tail: 0.00%
Epoch 149/200 - Loss: 0.0054, Val Acc: 61.46%, Head: 72.35%, Med: 17.90%, Tail: 0.00%
Epoch 150/200 - Loss: 0.0062, Val Acc: 62.14%, Head: 72.36%, Med: 21.25%, Tail: 0.00%
Epoch 151/200 - Loss: 0.0045, Val Acc: 61.38%, Head: 72.15%, Med: 18.30%, Tail: 0.00%
Epoch 152/200 - Loss: 0.0065, Val Acc: 60.03%, Head: 70.20%, Med: 19.35%, Tail: 0.00%
Epoch 153/200 - Loss: 0.0053, Val Acc: 61.91%, Head: 72.50%, Med: 19.55%, Tail: 0.00%
Epoch 154/200 - Loss: 0.0061, Val Acc: 61.92%, Head: 73.06%, Med: 17.35%, Tail: 0.00%
Epoch 155/200 - Loss: 0.0031, Val Acc: 61.40%, Head: 71.38%, Med: 21.50%, Tail: 0.00%
