nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0oyw2ly1
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024807-0oyw2ly1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/0oyw2ly1
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 138/200 - Loss: 0.0679, Val Acc: 59.53%, Head: 69.41%, Med: 20.00%, Tail: 0.00%
[sgd] Epoch 139/200 - Loss: 0.0689, Val Acc: 59.18%, Head: 68.65%, Med: 21.30%, Tail: 0.00%
[sgd] Epoch 140/200 - Loss: 0.0680, Val Acc: 58.75%, Head: 68.46%, Med: 19.90%, Tail: 0.00%
[sgd] Epoch 141/200 - Loss: 0.0605, Val Acc: 61.50%, Head: 69.39%, Med: 29.95%, Tail: 0.00%
[sgd] Epoch 142/200 - Loss: 0.0635, Val Acc: 62.21%, Head: 71.58%, Med: 24.75%, Tail: 0.00%
[sgd] Epoch 143/200 - Loss: 0.0559, Val Acc: 59.49%, Head: 70.60%, Med: 15.05%, Tail: 0.00%
[sgd] Epoch 144/200 - Loss: 0.0519, Val Acc: 59.39%, Head: 68.08%, Med: 24.65%, Tail: 0.00%
[sgd] Epoch 145/200 - Loss: 0.0596, Val Acc: 61.21%, Head: 69.65%, Med: 27.45%, Tail: 0.00%
[sgd] Epoch 146/200 - Loss: 0.0523, Val Acc: 57.50%, Head: 66.91%, Med: 19.85%, Tail: 0.00%
[sgd] Epoch 147/200 - Loss: 0.0496, Val Acc: 61.59%, Head: 69.61%, Med: 29.50%, Tail: 0.00%
[sgd] Epoch 148/200 - Loss: 0.0465, Val Acc: 61.14%, Head: 70.33%, Med: 24.40%, Tail: 0.00%
[sgd] Epoch 149/200 - Loss: 0.0432, Val Acc: 63.82%, Head: 71.46%, Med: 33.25%, Tail: 0.00%
[sgd] Epoch 150/200 - Loss: 0.0454, Val Acc: 60.78%, Head: 69.58%, Med: 25.60%, Tail: 0.00%
[sgd] Epoch 151/200 - Loss: 0.0431, Val Acc: 63.29%, Head: 71.30%, Med: 31.25%, Tail: 0.00%
[sgd] Epoch 152/200 - Loss: 0.0354, Val Acc: 59.74%, Head: 68.70%, Med: 23.90%, Tail: 0.00%
[sgd] Epoch 153/200 - Loss: 0.0318, Val Acc: 61.73%, Head: 70.69%, Med: 25.90%, Tail: 0.00%
