nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run j8h3m8hd
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073500-j8h3m8hd
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/j8h3m8hd
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=4800: 22.700% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 95/200 - Loss: 0.0379, Val Acc: 60.67%, Head: 68.30%, Med: 30.15%, Tail: 0.00%
[trinity] Epoch 96/200 - Loss: 0.0371, Val Acc: 59.09%, Head: 69.95%, Med: 15.65%, Tail: 0.00%
[trinity] Epoch 97/200 - Loss: 0.0401, Val Acc: 61.35%, Head: 69.58%, Med: 28.45%, Tail: 0.00%
[trinity] Epoch 98/200 - Loss: 0.0274, Val Acc: 59.66%, Head: 69.99%, Med: 18.35%, Tail: 0.00%
[trinity] Epoch 99/200 - Loss: 0.0316, Val Acc: 60.31%, Head: 69.84%, Med: 22.20%, Tail: 0.00%
[trinity] Epoch 100/200 - Loss: 0.0334, Val Acc: 59.49%, Head: 68.95%, Med: 21.65%, Tail: 0.00%
[trinity] Epoch 101/200 - Loss: 0.0252, Val Acc: 59.47%, Head: 68.67%, Med: 22.65%, Tail: 0.00%
[trinity] Epoch 102/200 - Loss: 0.0219, Val Acc: 60.41%, Head: 69.35%, Med: 24.65%, Tail: 0.00%
[trinity] Epoch 103/200 - Loss: 0.0274, Val Acc: 60.22%, Head: 68.62%, Med: 26.60%, Tail: 0.00%
[trinity] Epoch 104/200 - Loss: 0.0248, Val Acc: 60.28%, Head: 69.54%, Med: 23.25%, Tail: 0.00%
[trinity] Epoch 105/200 - Loss: 0.0277, Val Acc: 59.13%, Head: 68.59%, Med: 21.30%, Tail: 0.00%
[trinity] Epoch 106/200 - Loss: 0.0264, Val Acc: 60.82%, Head: 69.66%, Med: 25.45%, Tail: 0.00%
[trinity] Epoch 107/200 - Loss: 0.0250, Val Acc: 60.08%, Head: 69.76%, Med: 21.35%, Tail: 0.00%
[trinity] Epoch 108/200 - Loss: 0.0241, Val Acc: 59.40%, Head: 68.83%, Med: 21.70%, Tail: 0.00%
[trinity] Epoch 109/200 - Loss: 0.0225, Val Acc: 60.39%, Head: 70.17%, Med: 21.25%, Tail: 0.00%
[trinity] Epoch 110/200 - Loss: 0.0194, Val Acc: 61.12%, Head: 69.86%, Med: 26.15%, Tail: 0.00%
[trinity] Epoch 111/200 - Loss: 0.0224, Val Acc: 60.25%, Head: 69.72%, Med: 22.35%, Tail: 0.00%
[trinity] Epoch 112/200 - Loss: 0.0216, Val Acc: 60.80%, Head: 70.16%, Med: 23.35%, Tail: 0.00%
[trinity] Epoch 113/200 - Loss: 0.0179, Val Acc: 60.37%, Head: 69.50%, Med: 23.85%, Tail: 0.00%
[trinity] Epoch 114/200 - Loss: 0.0192, Val Acc: 59.95%, Head: 69.76%, Med: 20.70%, Tail: 0.00%
[trinity] Epoch 115/200 - Loss: 0.0181, Val Acc: 59.36%, Head: 68.54%, Med: 22.65%, Tail: 0.00%
[trinity] Epoch 116/200 - Loss: 0.0195, Val Acc: 59.91%, Head: 68.92%, Med: 23.85%, Tail: 0.00%
[trinity] Epoch 117/200 - Loss: 0.0185, Val Acc: 59.66%, Head: 68.76%, Med: 23.25%, Tail: 0.00%
[trinity] Epoch 118/200 - Loss: 0.0165, Val Acc: 58.88%, Head: 67.81%, Med: 23.15%, Tail: 0.00%
[trinity] Epoch 119/200 - Loss: 0.0190, Val Acc: 60.18%, Head: 68.92%, Med: 25.20%, Tail: 0.00%
[trinity] Epoch 120/200 - Loss: 0.0154, Val Acc: 59.00%, Head: 69.80%, Med: 15.80%, Tail: 0.00%
[trinity] Epoch 121/200 - Loss: 0.0129, Val Acc: 60.04%, Head: 70.14%, Med: 19.65%, Tail: 0.00%
[trinity] Epoch 122/200 - Loss: 0.0354, Val Acc: 61.03%, Head: 70.45%, Med: 23.35%, Tail: 0.00%
[trinity] Epoch 123/200 - Loss: 0.0118, Val Acc: 60.21%, Head: 69.42%, Med: 23.35%, Tail: 0.00%
[trinity] Epoch 124/200 - Loss: 0.0143, Val Acc: 61.03%, Head: 70.44%, Med: 23.40%, Tail: 0.00%
[trinity] Epoch 125/200 - Loss: 0.0133, Val Acc: 61.05%, Head: 69.83%, Med: 25.95%, Tail: 0.00%
[trinity] Epoch 126/200 - Loss: 0.0112, Val Acc: 60.89%, Head: 69.24%, Med: 27.50%, Tail: 0.00%
[trinity] Epoch 127/200 - Loss: 0.0088, Val Acc: 59.77%, Head: 69.05%, Med: 22.65%, Tail: 0.00%
[trinity] Epoch 128/200 - Loss: 0.0140, Val Acc: 60.73%, Head: 68.86%, Med: 28.20%, Tail: 0.00%
